task,prompt,status
task_001,baseline,FAILED
task_001,structured,FAILED
task_002,baseline,PASSED
task_002,structured,PASSED
task_003,baseline,FAILED
task_003,structured,FAILED
task_004,baseline,PASSED
task_004,structured,PASSED
task_005,baseline,FAILED
task_005,structured,FAILED
task_006,baseline,PASSED
task_006,structured,PASSED
task_007,baseline,PASSED
task_007,structured,PASSED
task_008,baseline,PASSED
task_008,structured,PASSED
task_009,baseline,PASSED
task_009,structured,PASSED
task_010,baseline,PASSED
task_010,structured,PASSED
